
Oil of Fortitude;1 Clown's Blood;1 Monk's Branch;1 Fruit of Nature;1 Powder of Flame
Oil of Regeneration;1 Legendary Beast's Blood;1 Red Tree Lump;1 Fruit of Crimson Flame;1 Powder of Crevice
Oil of Storms;1 Tyrant's Blood;1 Old Tree Bark;1 Fruit of Abundance;1 Powder of Time
Oil of Tranquility;1 Wise Man's Blood;1 Bloody Tree Knot;1 Fruit of Magic Power;1 Powder of Earth
Oil of the Abyss;1 Tyrant's Blood;1 Deep Sea Fruit;2 Powder of Time;2 Bloody Tree Knot
Perfume of Charm;2 Oil of Enchantment;1 Shining Powder;5 Everlasting Herb;1 Delotia Essence;3 Purified Water
Perfume of Courage;1 Blue Whale Oil;3 Trace of Violence;6 Bloody Tree Knot;4 Purified Water;2 Clear Liquid Reagent
Perfume of Swiftness;1 Blue Whale Oil;4 Powder of Time;6 Everlasting Herb;4 Purified Water;2 Clear Liquid Reagent
Plywood Hardener;4 Fir Sap;1 Pure Powder Reagent;3 Bloody Tree Knot;3 Trace of the Earth
Pure Powder Reagent;1 Sugar;1 Silver Azalea;1 Weeds;1 Purified Water
Refined Delotia Reagent;3 Delotia Powder;1 Clear Liquid Reagent;1 Pure Powder Reagent
Resurrection Elixir;1 Clear Liquid Reagent;3 Sunrise Herb;3 Purified Water;2 HP Potion (Small)
Savage Draught;3 Weenie Elixir;3 Looney Elixir;3 Helix Elixir;1 Tears of the Falling Moon
Sinner's Blood;1 Bloody Tree Knot;1 Powder of Flame;1 Clear Liquid Reagent;2 Blood 2
Special Honey Jar;2 Top-Quality Cooking Honey;5 Fruit of Abundance;1 Essence of Liquor;2 Purified Water
Spirit Perfume Elixir;1 Dead Tree Essence;1 Fruit of Nature;10 Loopy Tree Sap;10 Powder of Darkness;2 Violet Flower
Spirit Stone - Destruction;50 Mystical Spirit Powder;5 Flawless Spirit Stone;50 Metal Solvent;5 Cron Stone;1 Reagent of Harmonious Spirits
Spirit Stone - Guardian;5 Flawless Spirit Stone;50 Mystical Spirit Powder;50 Gem Polisher;5 Cron Stone;1 Reagent of Harmonious Spirits
Tenacious Origin of Life;50 Sunrise Herb;50 Silver Azalea;50 Fire Flake Flower;50 Dry Mane Grass;50 Silk Honey Grass
Tyrant's Blood;1 Monk's Branch;1 Trace Of Savagery;1 Pure Powder Reagent;2 Blood 4
Unbridled Celerity Draught;72 Elixir of Training;72 Elixir of Time;72 Elixir of Wings;20 Tears of the Falling Moon;1 Rumbling Earth Shard
Verdure Draught;3 Worker's Elixir;3 Elixir of Time;3 Elixir of Swiftness;1 Tears of the Falling Moon
Weenie Elixir;4 Moss Tree Sap;2 Blue Umbrella Mushroom;3 Powder of Time;5 Monk's Branch;1 Sky Blue Flower
Whale Tendon Elixir;1 Blue Whale Tendon;1 Clown's Blood;12 Ash Sap;5 Purified Water;2 Clear Liquid Reagent
Whale Tendon Potion;1 Blue Whale Tendon;3 HP Potion (Medium);3 MP Potion (Medium);8 Purified Water
Wise Man's Blood;1 Monk's Branch;1 Trace Of Ascension;1 Clear Liquid Reagent;2 Blood 3
Worker's Elixir;1 Sinner's Blood;6 Silver Azalea;4 Ash Sap;2 Powder of Flame
